product,treatment 4
Inner membrane ABC transporter permease protein YejB,8
Glyoxylate/hydroxypyruvate reductase A,8
Chromosomal replication initiator protein DnaA,8
Trehalose-6-phosphate phosphatase,8
dTDP-4-dehydrorhamnose reductase,8
Glutathione import ATP-binding protein GsiA,8
"dTDP-glucose 4,6-dehydratase 2",8
"dTDP-4-dehydrorhamnose 3,5-epimerase",8
DNA polymerase III subunit beta,8
putative adenylyltransferase/sulfurtransferase MoeZ,8
Inner membrane ABC transporter permease protein YejE,8
Trehalose-6-phosphate synthase,8
30S ribosomal protein S20,8
Glucose-1-phosphate thymidylyltransferase,8
DNA replication and repair protein RecF,8
Transcriptional activator FeaR,6
Oligopeptide-binding protein AppA,6
NAD/NADP-dependent betaine aldehyde dehydrogenase,5
Oxygen-dependent choline dehydrogenase,2
HTH-type transcriptional regulator BetI,2
Cytochrome c-552,1
P-protein,1
3-deoxy-manno-octulosonate cytidylyltransferase,1
Cysteine desulfuration protein SufE,1
Histidine protein kinase DivJ,1
Penicillin-binding protein 1F,1
