product,treatment 2,treatment 3,treatment 4
3-methylmercaptopropionyl-CoA dehydrogenase,1,,
4-hydroxybenzoate transporter PcaK,1,,
Acyl-CoA dehydrogenase,1,,
Electron transfer flavoprotein subunit alpha,1,,
3-ketoacyl-CoA thiolase,1,,
"1,2-epoxyphenylacetyl-CoA isomerase",1,,
Hydroxyacylglutathione hydrolase,1,,
Gentisate transporter,1,,
Acetyl-CoA:oxalate CoA-transferase,1,,
Electron transfer flavoprotein subunit beta,1,,
"2,3-dehydroadipyl-CoA hydratase",1,,
putative thiol:disulfide interchange protein DsbC,,,2
Copper resistance protein A,,,2
Arsenical pump membrane protein,,,2
Transcriptional activator protein CopR,,,2
putative amino-acid racemase,,,2
Glutaredoxin arsenate reductase,,,2
putative cadmium-transporting ATPase,,,2
Lipoprotein signal peptidase,,,2
Soluble lytic murein transglycosylase,,,2
DNA replication and repair protein RecF,,,2
putative manganese efflux pump MntP,,,2
Sensor kinase CusS,,,2
Outer membrane lipoprotein BfpB,,,2
Cation efflux system protein CusB,,,2
Ferrous iron permease EfeU,,,2
putative oxidoreductase CzcO,,,2
Toxin coregulated pilus biosynthesis protein T,,,2
Copper resistance protein B,,,2
Copper resistance protein C,,,2
Molybdenum-pterin-binding protein MopA,,,2
Nickel and cobalt resistance protein CnrB,,,2
Tyrosine recombinase XerD,,,2
Transcriptional activator protein CzcR,,,2
Sensor protein CzcS,,,2
RNA polymerase-associated protein RapA,,,2
Arsenate reductase,,,2
Undecaprenyl-diphosphatase,,,2
Silver exporting P-type ATPase,,,2
Chromosome partitioning protein ParA,,,2
Phosphoethanolamine transferase EptA,,,2
GMP synthase [glutamine-hydrolyzing],,,2
Mercuric resistance operon regulatory protein,,,2
Cation efflux system protein CusA,,,2
Cobalt-zinc-cadmium resistance protein CzcB,,,2
Modification methylase BspRI,,,2
Copper resistance protein D,,,2
Phosphoethanolamine transferase EptC,,,2
Cobalt-zinc-cadmium resistance protein CzcA,,,2
Cobalt-zinc-cadmium resistance protein CzcC,,,2
NADPH-dependent FMN reductase ArsH,,,2
